# blastp
# Iteration: 0
# Query: 
# RID: 8TVU5JV1014
# Database: pdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 20 hits found
Query_151901	5M2O_A	100.000	146	0	0	24	169	2	147	1.54e-103	293	100.00
Query_151901	5M2S_A	75.000	144	33	2	23	165	2	143	9.58e-69	206	81.25
Query_151901	5KDN_A	35.099	151	67	5	1	121	1	150	1.87e-06	47.4	52.32
Query_151901	4WAI_A	41.584	101	46	3	1	92	1	97	0.077	32.7	51.49
Query_151901	4E7O_A	38.462	104	48	4	1	90	1	102	0.22	31.6	50.96
Query_151901	2VU9_A	40.217	92	39	5	1	85	1	83	0.059	34.3	56.52
Query_151901	2KTM_A	41.573	89	40	4	1	83	1	83	0.34	30.4	52.81
Query_151901	2RNZ_A	38.636	88	43	4	1	81	1	84	0.011	34.7	59.09
Query_151901	3URG_A	43.662	71	29	2	1	71	1	60	0.078	33.1	59.15
Query_151901	2JNE_A	42.254	71	38	1	1	68	11	81	0.28	30.8	53.52
Query_151901	3K01_A	51.515	66	27	2	1	65	1	62	0.30	32.0	57.58
Query_151901	2CDP_A	49.206	63	23	2	1	63	1	54	0.033	34.3	60.32
Query_151901	3WRN_A	42.857	63	36	0	1	63	1	63	0.064	33.9	61.90
Query_151901	3G1M_A	41.791	67	35	1	1	63	1	67	0.34	31.6	62.69
Query_151901	5J78_A	47.692	65	30	2	1	61	1	65	0.030	35.0	66.15
Query_151901	2YPJ_A	43.548	62	31	1	1	58	1	62	0.26	31.6	62.90
Query_151901	5EJW_A	52.632	57	26	1	1	57	1	56	0.21	30.8	61.40
Query_151901	3T95_A	49.206	63	26	1	1	57	1	63	0.23	32.3	58.73
Query_151901	5BWL_A	60.417	48	16	1	1	48	1	45	0.044	34.3	72.92
Query_151901	2WGN_B	57.447	47	20	0	1	47	1	47	0.029	33.9	61.70




