# blastp
# Iteration: 0
# Query: 
# RID: 8TUCFH76015
# Database: pdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 20 hits found
Query_192299	4D62_A	42.063	126	60	2	1	113	2	127	1.52e-15	71.2	57.94
Query_192299	4CW8_A	42.636	129	56	3	1	112	2	129	4.52e-15	70.1	58.14
Query_192299	3ZPE_A	41.860	129	57	3	1	112	2	129	1.65e-14	68.6	57.36
Query_192299	3PID_A	46.602	103	48	3	1	97	2	103	5.03e-08	52.0	62.14
Query_192299	3PHL_A	46.602	103	48	3	1	97	2	103	5.40e-08	52.0	62.14
Query_192299	4UMI_A	56.977	86	24	3	1	86	1	73	7.85e-09	53.5	65.12
Query_192299	4E2A_A	51.087	92	36	2	1	83	2	93	3.02e-08	52.0	56.52
Query_192299	5XTO_A	57.353	68	24	1	1	63	2	69	8.57e-08	51.2	67.65
Query_192299	5XTP_A	57.353	68	24	1	1	63	2	69	8.57e-08	51.2	67.65
Query_192299	5XTQ_A	57.353	68	24	1	1	63	2	69	8.65e-08	51.2	67.65
Query_192299	5XTR_A	57.353	68	24	1	1	63	2	69	8.65e-08	51.2	67.65
Query_192299	5XKI_A	57.353	68	24	1	1	63	2	69	8.99e-08	51.2	67.65
Query_192299	5XTN_A	57.353	68	24	1	1	63	2	69	9.90e-08	50.8	67.65
Query_192299	3L7Y_A	64.516	62	19	1	1	59	2	63	9.89e-08	51.2	69.35
Query_192299	3L9D_A	65.517	58	20	0	1	58	2	59	2.07e-08	52.8	68.97
Query_192299	3VSF_A	73.214	56	12	1	1	53	2	57	6.80e-10	57.8	76.79
Query_192299	3HS8_A	70.370	54	10	2	1	52	2	51	9.73e-09	53.9	77.78
Query_192299	2Q7F_A	75.000	48	12	0	1	48	2	49	8.37e-08	50.8	77.08
Query_192299	2HGM_A	85.714	42	6	0	1	42	2	43	1.47e-08	51.2	88.10
Query_192299	4HBK_A	83.333	42	7	0	1	42	2	43	2.80e-08	52.8	90.48




